id,english_name,sanskrit_name,category,difficulty_level,target_muscles,benefits,contraindications,duration_seconds,image_asset_path,youtube_video_id,youtube_url
pose_001,Downward-Facing Dog,Adho Mukha Svanasana,Inversion,Beginner,"Hamstrings, Calves","Improves flexibility, strengthens hamstrings, calves, and enhances body stability.",Wrist injury,30,assets/images/poses/pose_001.png,yt_id_001,https://www.youtube.com/results?search_query=Yoga+Downward-Facing+Dog+Tutorial
pose_002,Upward-Facing Dog,Urdhva Mukha Svanasana,Backbend,Intermediate,"Chest, Wrists","Improves flexibility, strengthens chest, wrists, and enhances body stability.",Back injury,45,assets/images/poses/pose_002.png,yt_id_002,https://www.youtube.com/results?search_query=Yoga+Upward-Facing+Dog+Tutorial
pose_003,Cobra Pose,Bhujangasana,Backbend,Beginner,"Spine, Chest","Improves flexibility, strengthens spine, chest, and enhances body stability.",Pregnancy,30,assets/images/poses/pose_003.png,yt_id_003,https://www.youtube.com/results?search_query=Yoga+Cobra+Pose+Tutorial
pose_004,Warrior I,Virabhadrasana I,Standing,Beginner,"Quads, Glutes","Improves flexibility, strengthens quads, glutes, and enhances body stability.",High blood pressure,30,assets/images/poses/pose_004.png,yt_id_004,https://www.youtube.com/results?search_query=Yoga+Warrior+I+Tutorial
pose_005,Warrior II,Virabhadrasana II,Standing,Beginner,"Hips, Thighs","Improves flexibility, strengthens hips, thighs, and enhances body stability.",Neck pain,30,assets/images/poses/pose_005.png,yt_id_005,https://www.youtube.com/results?search_query=Yoga+Warrior+II+Tutorial
pose_006,Warrior III,Virabhadrasana III,Balancing,Intermediate,"Core, Hamstrings","Improves flexibility, strengthens core, hamstrings, and enhances body stability.",Balance issues,45,assets/images/poses/pose_006.png,yt_id_006,https://www.youtube.com/results?search_query=Yoga+Warrior+III+Tutorial
pose_007,Tree Pose,Vrksasana,Balancing,Beginner,"Ankles, Calves","Improves flexibility, strengthens ankles, calves, and enhances body stability.",Dizziness,30,assets/images/poses/pose_007.png,yt_id_007,https://www.youtube.com/results?search_query=Yoga+Tree+Pose+Tutorial
pose_008,Triangle Pose,Trikonasana,Standing,Beginner,"Groin, Hamstrings","Improves flexibility, strengthens groin, hamstrings, and enhances body stability.",Low blood pressure,30,assets/images/poses/pose_008.png,yt_id_008,https://www.youtube.com/results?search_query=Yoga+Triangle+Pose+Tutorial
pose_009,Extended Side Angle,Utthita Parsvakonasana,Standing,Intermediate,"Waist, Hips","Improves flexibility, strengthens waist, hips, and enhances body stability.",Headache,45,assets/images/poses/pose_009.png,yt_id_009,https://www.youtube.com/results?search_query=Yoga+Extended+Side+Angle+Tutorial
pose_010,Chair Pose,Utkatasana,Standing,Beginner,"Quads, Shoulders","Improves flexibility, strengthens quads, shoulders, and enhances body stability.",Insomnia,30,assets/images/poses/pose_010.png,yt_id_010,https://www.youtube.com/results?search_query=Yoga+Chair+Pose+Tutorial
pose_011,Child's Pose,Balasana,Restorative,Beginner,"Lower Back, Hips","Improves flexibility, strengthens lower back, hips, and enhances body stability.",Knee injury,30,assets/images/poses/pose_011.png,yt_id_011,https://www.youtube.com/results?search_query=Yoga+Child's+Pose+Tutorial
pose_012,Bridge Pose,Setu Bandha Sarvangasana,Backbend,Beginner,"Glutes, Spine","Improves flexibility, strengthens glutes, spine, and enhances body stability.",Neck injury,30,assets/images/poses/pose_012.png,yt_id_012,https://www.youtube.com/results?search_query=Yoga+Bridge+Pose+Tutorial
pose_013,Wheel Pose,Urdhva Dhanurasana,Backbend,Advanced,"Shoulders, Chest","Improves flexibility, strengthens shoulders, chest, and enhances body stability.",Heart conditions,60,assets/images/poses/pose_013.png,yt_id_013,https://www.youtube.com/results?search_query=Yoga+Wheel+Pose+Tutorial
pose_014,Crow Pose,Bakasana,Arm Balance,Advanced,"Wrists, Core","Improves flexibility, strengthens wrists, core, and enhances body stability.",Carpal tunnel,60,assets/images/poses/pose_014.png,yt_id_014,https://www.youtube.com/results?search_query=Yoga+Crow+Pose+Tutorial
pose_015,Plank Pose,Kumbhakasana,Core,Beginner,"Abs, Arms","Improves flexibility, strengthens abs, arms, and enhances body stability.",Wrist pain,30,assets/images/poses/pose_015.png,yt_id_015,https://www.youtube.com/results?search_query=Yoga+Plank+Pose+Tutorial
pose_016,Four-Limbed Staff Pose,Chaturanga Dandasana,Arm Balance,Intermediate,"Triceps, Core","Improves flexibility, strengthens triceps, core, and enhances body stability.",Shoulder injury,45,assets/images/poses/pose_016.png,yt_id_016,https://www.youtube.com/results?search_query=Yoga+Four-Limbed+Staff+Pose+Tutorial
pose_017,Camel Pose,Ustrasana,Backbend,Intermediate,"Quads, Chest","Improves flexibility, strengthens quads, chest, and enhances body stability.",High blood pressure,45,assets/images/poses/pose_017.png,yt_id_017,https://www.youtube.com/results?search_query=Yoga+Camel+Pose+Tutorial
pose_018,Pigeon Pose,Eka Pada Rajakapotasana,Seated,Intermediate,"Hip Flexors, Glutes","Improves flexibility, strengthens hip flexors, glutes, and enhances body stability.",Knee tightness,45,assets/images/poses/pose_018.png,yt_id_018,https://www.youtube.com/results?search_query=Yoga+Pigeon+Pose+Tutorial
pose_019,Seated Forward Bend,Paschimottanasana,Seated,Beginner,"Hamstrings, Spine","Improves flexibility, strengthens hamstrings, spine, and enhances body stability.",Asthma,30,assets/images/poses/pose_019.png,yt_id_019,https://www.youtube.com/results?search_query=Yoga+Seated+Forward+Bend+Tutorial
pose_020,Corpse Pose,Savasana,Restorative,Beginner,Full Body,"Improves flexibility, strengthens full body, and enhances body stability.",None,30,assets/images/poses/pose_020.png,yt_id_020,https://www.youtube.com/results?search_query=Yoga+Corpse+Pose+Tutorial
pose_021,Bound Downward-Facing Dog,Bound Adho Mukha Svanasana,Inversion,Beginner,"Hamstrings, Calves","Improves flexibility, strengthens hamstrings, calves, and enhances body stability.",Wrist injury,30,assets/images/poses/pose_021.png,yt_id_021,https://www.youtube.com/results?search_query=Yoga+Bound+Downward-Facing+Dog+Tutorial
pose_022,Bound Upward-Facing Dog,Bound Urdhva Mukha Svanasana,Backbend,Intermediate,"Chest, Wrists","Improves flexibility, strengthens chest, wrists, and enhances body stability.",Back injury,45,assets/images/poses/pose_022.png,yt_id_022,https://www.youtube.com/results?search_query=Yoga+Bound+Upward-Facing+Dog+Tutorial
pose_023,Bound Cobra Pose,Bound Bhujangasana,Backbend,Beginner,"Spine, Chest","Improves flexibility, strengthens spine, chest, and enhances body stability.",Pregnancy,30,assets/images/poses/pose_023.png,yt_id_023,https://www.youtube.com/results?search_query=Yoga+Bound+Cobra+Pose+Tutorial
pose_024,Bound Warrior I,Bound Virabhadrasana I,Standing,Beginner,"Quads, Glutes","Improves flexibility, strengthens quads, glutes, and enhances body stability.",High blood pressure,30,assets/images/poses/pose_024.png,yt_id_024,https://www.youtube.com/results?search_query=Yoga+Bound+Warrior+I+Tutorial
pose_025,Bound Warrior II,Bound Virabhadrasana II,Standing,Beginner,"Hips, Thighs","Improves flexibility, strengthens hips, thighs, and enhances body stability.",Neck pain,30,assets/images/poses/pose_025.png,yt_id_025,https://www.youtube.com/results?search_query=Yoga+Bound+Warrior+II+Tutorial
pose_026,Bound Warrior III,Bound Virabhadrasana III,Balancing,Intermediate,"Core, Hamstrings","Improves flexibility, strengthens core, hamstrings, and enhances body stability.",Balance issues,45,assets/images/poses/pose_026.png,yt_id_026,https://www.youtube.com/results?search_query=Yoga+Bound+Warrior+III+Tutorial
